Year,Month,Number,UTME,UTMN,House_dens,Road_Dist,Water_Dist,Dist_Farm,Dist_Forest,TE
2017,5,1011730,448963,5078307,12,0.110976648,0.228836387,0.063529317,0.09086052,5.094759766
2017,5,1011731,432096,5063562,7,0.024533001,0.06212951,0.069137834,0.052777483,20.95030078
2017,5,1011732,443232,5079877,12,0.01071426,0.086875812,0.03266607,0.080341525,7.941709961
2017,6,1012025,423722,5093336,7,0.001468872,0.158495689,0.104365442,0.01683317,19.5285
2017,5,1012026,453188,5065750,11,0.059958747,0.04234175,0.074485547,0.037689856,19.02359961
2017,5,1012049,443022,5079472,12,0.050649043,0.148593914,0,0.051230689,8.688589844
2017,6,1012118,673174,5107660,10,0.024043737,0.302765065,3.182429609,0.089100947,14.37359961
2017,6,1012120,395998,5026284,7,0.013556545,0.13121979,0.019124621,0,15.0257002
2017,5,1012171,477867,4954711,31,0.004190566,0.314483283,1.936625856,0.064348759,28.32259961
2017,5,1012179,485973,4958541,21,0.030453062,0.159496922,1.168108431,0.014302514,25.66980078
2017,6,1012194,470143,4946156,89,0.02776732,0.108199542,0.802693448,0.081212031,20.31469922
2017,6,1012498,449143,5079093,12,0.046308503,0.064468637,0.058547782,0.071388042,12.88690039
2017,6,1012512,448951,5078317,12,0.09792945,0.213301826,0.066457281,0.096937295,5.072430176
2017,6,1012515,408811,5076795,16,0.148176191,0.077366081,0.160291665,0.037423001,10.6742998
2017,6,1012574,469639,4961367,18,0.005903357,0.094716042,10.88687856,0.006236707,31.237
2017,6,1012578,475528,4952525,34,0.013523227,0.228615693,4.80382274,0.058928624,19.71369922
2017,6,1012634,499673,4958700,12,0.018255439,0.063522069,0.35926743,0.070546364,17.62409961
2017,7,1012890,394989,5026834,7,0.03371248,0.263524749,0.607014375,0,13.4397002
2017,7,1012891,395811,5027468,7,0.008063069,0.110284942,0.744992626,0.062924258,14.45459961
2017,7,1012893,421591,5028804,3,0.020698416,0.155998513,0.524377454,0,18.74680078
2017,7,1012980,390948,5030749,8,0.010592361,0.283945024,0.097676847,0,18.11269922
2017,7,1013052,433817,5086784,11,0.226524971,0.063081527,0,0.102845955,6.930810059
2017,7,1013070,576920,5011078,5,0.037729476,0.285771531,1.973619685,0,22.16759961
2017,7,1013072,449027,5078061,12,0.203955931,0.194228791,0,0.218928403,5.982379883
2017,6,1013156,448659,5078884,12,0.066637916,0.08239097,0.082885669,0.254312622,7.075479981
2017,9,1013599,488113,4959171,20,0.029170447,0.216450393,0.923962552,0,19.37609961
2017,8,1013600,476784,4955668,31,0.147220843,0.001799223,3.148382792,0,23.99469922
2017,8,1013601,477239,4955863,31,0.482104639,0.256650435,2.783223552,0,28.32890039
2017,8,1013605,476780,4955647,31,0.139291864,0.012107345,3.146448901,0,23.65530078
2017,8,1013607,476670,4955627,31,0.027488878,0.01504617,3.247235947,0,22.83069922
2017,8,1013615,481274,4956971,26,0.029607239,0.026023415,1.879482859,0.034174762,17.44919922
2017,9,1013618,395429,5027286,7,0.045891103,0.150281274,0.694140408,0,15.32340039
2017,8,1013619,471695,4958495,28,0.001625916,0.193624782,8.917903533,0.188515198,22.16619922
2017,7,1013645,464109,4947832,136,0.021594467,0.002994604,0.936865787,0.002988959,18.19340039
2017,7,1013648,481923,4956005,27,0.039955553,0.176535106,1.35710445,0.03398739,20.85559961
2017,7,1013649,478828,4954468,30,0.000469202,0.137799251,1.006926513,0.039229982,22.65730078
2017,8,1013665,408157,5075141,16,0.024655882,0.158764974,0,0.174097946,8.100779785
2017,9,1013753,538368,5048984,33,0.088538402,0.188905723,0.611381581,0.067730615,27.84830078
2017,7,1013813,683358,5112741,10,0.041602452,0.068112037,0.516230725,0.035522228,27.84669922
2017,10,1014098,486809,4959124,20,0.204750031,0.137233065,0.952332002,0,20.15190039
2017,8,1014104,478984,4946172,28,0.322273258,0.154836708,3.653386909,0.042167849,26.28469922
2017,9,1014264,647063,5092177,8,0.229717412,0.146745527,1.485686201,0.047493046,17.72559961
2017,9,1014328,626694,5054824,14,0.004575754,0.008571689,2.27921022,0.04146001,13.2267998
2017,8,1015020,430124,5091757,9,0.119399954,0.0349673,0.168981168,0.032837459,9.397339844
2017,11,1015386,582332,5056796,19,0.19131397,0.024703054,0.067134017,0.016671106,28.56480078
2018,3,1015902,437983,4956537,101,0.843623697,0.229368174,3.178345076,0.010683039,17.62640039
2018,3,1015986,447140,4958880,121,0.019447879,0.32431398,3.625558354,0.042935155,8.112479981
2018,3,1015990,437678,4956365,101,0.675781041,0.032987744,3.102222379,0.053244852,16.71490039
2018,3,1016001,437719,4956100,101,0.408922993,0.258441159,2.839661748,0.059723732,15.96259961
2018,3,1016243,437943,4956402,101,0.703808181,0.097277784,3.057561355,0.040616471,16.41909961
2018,3,1016246,437734,4956279,101,0.580334391,0.07911569,3.002344296,0.013242449,15.9405
2018,4,1016390,444649,4969112,61,0.019891677,0.145551219,2.34718356,0.094866412,20.274
2018,5,1016397,584179,5027654,6,0.000227405,0.156898674,0.741313311,0.003617372,17.87709961
2018,5,1016418,431530,5064556,7,0.3345824,0.016962384,0.26927241,0.221352614,14.5022998
2018,5,1016419,449197,5079101,12,0.05312293,0.070830845,0.06535714,0.018723894,13.09790039
2018,5,1016424,432085,5065899,7,0.023460092,0.081564862,0.040167718,0.094270656,14.4857002
2018,5,1016509,671377,5115302,8,0.023999973,0.081205879,0.022476539,0,30.23859961
2018,5,1016524,408806,5074313,16,0.037349352,0.186340189,0.046860498,0.046860498,14.4947998
