Year,Month,Number,UTME,UTMN,House_dens,Road_Dist,Water_Dist,Dist_Farm,Dist_Forest,TE
2017,1,1009953,439277,4930039,19,0.087361113,0.118302321,9.55456296,0,13.6175
2017,1,1010442,436348,4955412,97,0.478085977,0.37220253,3.081710284,0.066656973,18.61709961
2017,4,1011199,434081,5063763,7,0.02209339,0.069677991,0.09826265,0,16.47019922
2017,4,1011494,421993,5069977,8,0.832290995,0.394986936,0.267541337,0,7.739390137
2017,5,1011518,448881,4928196,32,0.00650214,0.385532441,6.936698207,0.086347607,12.32390039
2017,5,1011521,444719,4969434,61,0.064961284,0.156907037,2.661863497,0.021386222,14.2622002
2017,5,1011574,474926,5068311,13,0.032781635,0.034772073,0,0.045425028,4.667939941
2017,4,1011577,423160,5052692,9,0.002968462,0.262347372,0.005076302,0.049475415,10.85740039
2017,5,1011608,431624,4930644,19,0.009778186,0.13574666,6.28343264,0.080331548,12.10440039
2017,4,1011658,431158,5064889,7,0.674026687,0.215571896,0.384746458,0.039867239,11.50109961
2017,5,1011670,432222,4957708,67,0.002532218,0.113977431,3.046265154,0.001906225,17.07690039
2017,5,1011704,467990,5067359,13,0.02718744,0.067020785,0.377948651,0.010649614,13.3002002
2017,5,1011743,432201,4957726,67,0.025489738,0.090665783,3.035790741,0,16.96190039
2017,5,1011770,665977,5106366,8,0.009219627,0.12726458,0.616316028,0.079666591,13.852
2017,5,1011819,443754,4931034,48,0.333264175,0.055680436,6.641091648,0,10.8277998
2017,5,1011875,443756,4931043,48,0.32477994,0.054217044,6.633821284,0,10.80559961
2017,5,1011887,448385,4931359,71,0.583742906,0.02273356,3.829004195,0,11.0162998
2017,5,1011888,431085,4928006,17,0.021562895,0.041086964,7.5704599,0.060918655,12.4557998
2017,5,1011892,443322,5079845,12,0.061021251,0.068901796,0,0.113083632,5.672029785
2017,5,1011933,432212,4957735,67,0.01561547,0.093611812,3.049699236,0,17.00959961
2017,5,1011984,392788,5055257,5,0.030690283,0.136237004,0.040202838,0,10.91990039
2017,5,1011996,433216,5026117,6,0.12963236,0.079335363,0.025798002,0,9.513540039
2017,5,1012037,394593,5069922,15,0.050889257,0.267469142,0,0.061210211,13.61909961
2017,5,1012046,462271,5070584,11,0.026108286,0.123460181,0.03595,0.061411226,9.917160156
2017,4,1012069,486164,5020919,37,0.009324748,0.071679988,0.038133965,0,12.7037998
2017,4,1012070,475131,5030515,40,0.000378733,0.021211826,0.014116911,0.007669656,12.39159961
2017,6,1012076,394654,5064200,5,0.012686654,0.166058565,0,0.15363535,9.494900391
2017,5,1012086,456813,4973889,28,0.243813258,0.185483689,2.301905694,0.055870694,13.8157002
2017,6,1012133,446413,4953326,192,0.002798964,0.292987799,4.386756174,0.139121317,12.00509961
2017,6,1012137,457322,4954620,192,0.417161814,0.607380511,7.514246504,0,21.2445
2017,6,1012139,429847,4928229,16,0.046660022,0.07968428,6.644647584,0.337564376,9.496269531
2017,6,1012144,414280,5078256,16,0.054507895,0.053509607,0.191788392,0.051359135,12.727
2017,6,1012172,591170,4991942,4,0.032014734,0.17080575,0.643076602,0.016970665,16.1512998
2017,5,1012174,461972,4954702,110,0.725920767,0.330493745,3.705443477,0.053178436,12.70559961
2017,6,1012175,468201,4944254,96,0.018520066,0.158560106,0,0.058980661,21.512
2017,5,1012180,471566,4948024,75,0.28735378,0.340980623,2.772231471,0,8.768320313
2017,5,1012183,469978,4955096,63,0.042000133,0.096345533,6.464033696,0.01350797,22.31030078
2017,5,1012189,461968,4954707,110,0.729214619,0.331395504,3.711846549,0.056418573,12.6852998
2017,6,1012192,469232,4943657,92,0.557745262,0.041691784,0,0.057426118,12.74340039
2017,6,1012193,467656,4944018,109,0.015865993,0.121753096,0.322567138,0.051692465,10.0742002
2017,5,1012197,477216,4955169,31,0.012976347,0.30392852,2.619232823,0.060689945,17.27780078
2017,6,1012198,477318,4955201,31,0.029812961,0.29164487,2.523339548,0.072244228,18.51219922
2017,6,1012206,585699,5064570,13,0.229263296,0.063660466,0.978675087,0.029786494,13.62909961
2017,6,1012214,442518,4954237,162,1.217513754,0.283211031,1.8176721,0,15.0187002
2017,5,1012218,455942,4974355,30,0.082855147,0.207214564,1.489315549,0,12.7797002
2017,5,1012219,455420,4974711,30,0.18816191,0.110176268,1.159480088,0,11.83440039
2017,5,1012220,455995,4974379,30,0.12931344,0.159026278,1.546925899,0,12.56309961
2017,5,1012221,455329,4974590,30,0.087306441,0.138680527,1.033742615,0.122232755,11.8827002
2017,6,1012225,672930,5107060,10,0.176440882,0.180782769,3.283431591,0.060026091,9.626509766
2017,6,1012230,641472,5139845,8,0.182901497,0.042181834,2.540145025,0.015782745,9.273700195
2017,5,1012238,653902,5134514,9,0.023776771,0.173577053,0.048903107,0.240288453,20.004
2017,5,1012241,646386,5101754,6,0.015306725,0.06874873,0.537761761,0.092313134,12.3552002
2017,6,1012252,449944,4951527,220,0.011938744,0.507011698,7.866602094,0.041052807,13.4635
2017,6,1012279,450096,5076541,12,0.020468021,0.172676219,0.032337927,0.03625125,11.8597998
2017,6,1012281,463262,5073195,10,0.027913732,0.300088497,0.112505302,0.211157281,9.856110352
2017,6,1012307,443756,4931043,48,0.32477994,0.054217044,6.633821284,0,10.80559961
2017,6,1012310,446918,4956618,155,0.100515465,0.446443283,4.268735504,0.846779737,0.360683991
2017,6,1012313,416207,4942861,22,0.023962025,0.175718083,9.73629373,0.259262372,6.378979981
2017,6,1012323,458436,4974862,22,0.038875822,0.055971129,1.686218781,0.045331718,17.15840039
2017,6,1012344,402280,5025974,6,0.404357678,0.138858538,0.770274172,0,5.784640137
2017,6,1012362,431370,4953614,49,0.333659276,0.125393947,2.549492021,0,13.1995
2017,6,1012363,460307,4950941,170,0.005308968,0.193634389,4.065135011,0.04730097,14.65690039
2017,6,1012367,457776,4974742,25,0.001997014,0.048191237,1.67699169,0.071529941,15.4265
2017,6,1012404,477226,4955124,31,0.033073665,0.29210719,2.60320485,0.033838613,17.22840039
